"region","valår","Moderaterna","Centerpartiet","Liberalerna","Kristdemokraterna","Miljöpartiet","Socialdemokraterna","Vänsterpartiet","Sverigedemokraterna","övriga partier"
"1287 Trelleborg","2014",11,2,2,0,2,18,0,11,5
"1290 Kristianstad","2002",12,4,11,6,1,28,4,0,5
"1290 Kristianstad","2006",14,5,11,3,3,25,1,3,6
"1290 Kristianstad","2010",17,4,10,2,4,21,2,9,2
"1290 Kristianstad","2014",11,5,10,1,4,23,2,14,1
"1291 Simrishamn","2002",9,5,4,2,1,15,3,1,9
"1291 Simrishamn","2006",12,6,3,2,2,13,2,2,7
"1291 Simrishamn","2010",14,4,2,1,3,13,1,3,8
"1291 Simrishamn","2014",10,5,2,1,3,13,1,7,7
"1292 Ängelholm","2002",18,6,4,4,0,15,2,0,2
"1292 Ängelholm","2006",21,4,2,4,2,13,1,2,2
"1292 Ängelholm","2010",20,4,2,2,2,13,0,4,4
"1292 Ängelholm","2014",13,4,2,2,2,16,0,6,6
"1293 Hässleholm","2002",10,8,5,7,2,21,3,0,5
"1293 Hässleholm","2006",13,7,4,5,2,20,2,4,4
"1293 Hässleholm","2010",14,5,3,4,4,18,2,9,2
"1293 Hässleholm","2014",8,4,3,4,4,20,2,14,2
"1315 Hylte","2002",7,11,3,3,1,20,2,0,2
"1315 Hylte","2006",7,8,2,2,0,12,1,0,11
"1315 Hylte","2010",5,7,3,1,1,14,1,2,9
"1315 Hylte","2014",4,7,2,0,1,15,1,4,5
"1380 Halmstad","2002",12,5,9,5,4,29,5,0,2
"1380 Halmstad","2006",19,5,6,3,4,26,3,2,3
"1380 Halmstad","2010",21,5,5,2,4,26,3,3,2
"1380 Halmstad","2014",16,8,4,2,4,25,4,6,2
"1381 Laholm","2002",8,13,4,4,2,13,2,0,3
"1381 Laholm","2006",10,9,3,2,1,10,2,1,3
"1381 Laholm","2010",13,7,2,1,2,9,1,3,3
"1381 Laholm","2014",9,7,1,2,3,10,1,5,3
"1382 Falkenberg","2002",7,10,4,3,2,16,2,0,7
"1382 Falkenberg","2006",9,12,2,2,2,18,2,2,2
"1382 Falkenberg","2010",11,11,3,2,2,17,2,3,0
"1382 Falkenberg","2014",9,10,2,2,2,18,2,6,0
"1383 Varberg","2002",11,9,4,5,2,22,4,0,4
"1383 Varberg","2006",15,10,4,3,2,20,4,2,1
"1383 Varberg","2010",18,7,4,2,4,20,2,2,2
"1383 Varberg","2014",14,7,4,2,4,20,2,6,2
"1384 Kungsbacka","2002",17,7,10,6,2,14,3,0,2
"1384 Kungsbacka","2006",21,7,7,5,2,12,2,0,5
"1384 Kungsbacka","2010",24,5,7,3,4,10,1,3,4
"1384 Kungsbacka","2014",21,7,6,2,4,10,2,6,3
"1401 Härryda","2002",9,3,9,3,3,16,3,0,3
"1401 Härryda","2006",13,3,6,3,3,15,2,1,3
"1401 Härryda","2010",16,3,6,2,4,11,2,3,4
"1401 Härryda","2014",14,3,5,2,4,11,2,5,5
"1402 Partille","2002",8,0,7,4,4,13,4,0,1
"1402 Partille","2006",15,2,6,4,4,15,3,0,2
"1402 Partille","2010",17,2,6,2,5,13,3,2,1
"1402 Partille","2014",15,2,5,2,5,13,4,5,0
"1407 Öckerö","2002",11,0,4,10,2,12,2,0,0
"1407 Öckerö","2006",12,0,4,10,3,11,1,0,0
"1407 Öckerö","2010",13,0,7,7,3,9,1,1,0
"1407 Öckerö","2014",11,0,4,9,3,9,2,3,0
"1415 Stenungsund","2002",7,3,7,4,1,15,3,0,1
"1415 Stenungsund","2006",10,4,5,3,2,14,2,0,1
"1415 Stenungsund","2010",12,3,5,2,3,13,2,1,0
"1415 Stenungsund","2014",12,2,3,2,3,13,2,4,0
"1419 Tjörn","2002",5,2,6,4,1,14,1,0,8
"1419 Tjörn","2006",7,2,6,4,1,13,1,0,7
"1419 Tjörn","2010",9,2,6,3,2,13,1,1,4
"1419 Tjörn","2014",9,2,6,3,2,12,1,3,3
"1421 Orust","2002",6,6,6,3,2,13,3,0,2
"1421 Orust","2006",8,7,5,3,2,12,2,1,1
"1421 Orust","2010",9,4,5,1,3,11,1,1,6
"1421 Orust","2014",7,5,5,1,4,10,2,4,3
"1427 Sotenäs","2002",9,2,5,3,1,17,1,0,3
"1427 Sotenäs","2006",13,2,6,3,1,13,0,0,3
"1427 Sotenäs","2010",12,1,3,2,1,10,1,0,1
"1427 Sotenäs","2014",11,2,3,1,1,10,1,2,0
"1430 Munkedal","2002",4,8,2,4,1,12,2,0,2
"1430 Munkedal","2006",5,7,2,3,1,12,2,0,2
"1430 Munkedal","2010",7,7,1,3,1,11,2,1,1
"1430 Munkedal","2014",6,6,1,2,1,11,2,6,0
"1435 Tanum","2002",7,10,7,3,0,10,0,0,4
"1435 Tanum","2006",9,12,5,1,0,9,0,0,5
"1435 Tanum","2010",10,11,5,1,0,8,0,1,5
"1435 Tanum","2014",9,9,5,1,3,9,2,3,0
"1438 Dals-Ed","2002",3,17,2,5,2,12,0,0,0
"1438 Dals-Ed","2006",4,9,2,4,2,10,0,0,0
"1438 Dals-Ed","2010",4,12,1,2,1,9,0,1,1
"1438 Dals-Ed","2014",3,12,1,2,1,10,0,0,0
"1439 Färgelanda","2002",6,8,4,2,0,13,2,0,0
"1439 Färgelanda","2006",4,10,4,2,0,12,2,1,0
"1439 Färgelanda","2010",7,8,2,3,1,10,2,2,0
"1439 Färgelanda","2014",3,7,2,2,0,11,1,3,0
"1440 Ale","2002",5,3,4,4,2,21,5,0,5
"1440 Ale","2006",7,3,3,3,2,20,4,1,6
"1440 Ale","2010",11,2,3,2,2,17,3,3,6
"1440 Ale","2014",10,2,2,2,3,17,3,5,5
"1441 Lerum","2002",13,2,8,4,3,16,5,0,0
"1441 Lerum","2006",18,4,4,3,4,14,3,1,0
"1441 Lerum","2010",17,4,6,2,4,13,3,2,0
"1441 Lerum","2014",13,4,5,2,6,13,3,5,0
"1442 Vårgårda","2002",5,11,5,6,1,11,2,0,0
"1442 Vårgårda","2006",6,11,4,5,2,11,1,1,0
"1442 Vårgårda","2010",8,7,4,4,3,12,1,2,0
"1442 Vårgårda","2014",7,7,3,4,2,12,2,4,0
"1443 Bollebygd","2002",7,4,2,3,2,11,2,0,0
"1443 Bollebygd","2006",9,3,2,2,1,11,2,1,0
"1443 Bollebygd","2010",11,3,1,1,2,11,0,2,0
"1443 Bollebygd","2014",7,2,1,1,2,10,1,5,2
"1444 Grästorp","2002",7,9,4,0,0,9,0,0,2
"1444 Grästorp","2006",10,7,3,1,0,9,0,0,1
"1444 Grästorp","2010",11,6,3,0,0,9,0,1,1
"1444 Grästorp","2014",8,6,2,0,1,8,0,2,0
"1445 Essunga","2002",7,10,3,4,1,9,1,0,0
"1445 Essunga","2006",10,9,2,3,1,9,1,0,0
"1445 Essunga","2010",10,6,1,2,1,9,1,1,0
"1445 Essunga","2014",11,4,1,2,1,9,1,2,0
"1446 Karlsborg","2002",5,6,3,2,0,15,0,0,0
"1446 Karlsborg","2006",5,8,3,1,0,14,0,0,0
"1446 Karlsborg","2010",5,8,3,1,1,13,0,0,0
"1446 Karlsborg","2014",4,7,2,1,1,12,1,3,0
"1447 Gullspång","2002",2,3,1,2,0,13,2,0,18
"1447 Gullspång","2006",2,3,2,0,0,12,0,0,16
"1447 Gullspång","2010",8,3,3,0,1,17,0,1,2
"1447 Gullspång","2014",8,3,0,0,0,14,0,2,4
"1452 Tranemo","2002",5,10,2,3,1,15,1,0,0
"1452 Tranemo","2006",6,11,2,2,0,14,1,1,0
"1452 Tranemo","2010",7,8,2,2,2,13,1,2,0
"1452 Tranemo","2014",5,9,1,2,2,13,1,4,0
"1460 Bengtsfors","2002",3,7,4,3,0,16,2,0,0
"1460 Bengtsfors","2006",4,8,3,3,0,14,2,0,1
"1460 Bengtsfors","2010",5,7,3,2,1,14,2,1,0
"1460 Bengtsfors","2014",5,5,2,1,1,13,1,3,0
"1461 Mellerud","2002",5,8,5,5,2,12,3,0,1
"1461 Mellerud","2006",6,10,2,5,1,12,3,1,1
"1461 Mellerud","2010",7,8,2,3,2,13,3,2,1
"1461 Mellerud","2014",4,7,1,2,2,10,1,3,1
"1462 Lilla Edet","2002",4,7,3,2,1,11,3,0,0
"1462 Lilla Edet","2006",5,7,2,1,1,11,3,1,0
"1462 Lilla Edet","2010",5,5,2,1,1,12,3,2,0
"1462 Lilla Edet","2014",5,5,1,0,1,11,3,3,0
"1463 Mark","2002",5,8,4,4,2,20,4,0,4
"1463 Mark","2006",8,8,2,3,1,20,3,0,6
"1463 Mark","2010",10,5,4,3,2,17,3,1,6
"1463 Mark","2014",8,6,2,2,2,16,4,5,6
"1465 Svenljunga","2002",5,8,3,4,1,14,1,0,3
"1465 Svenljunga","2006",7,11,3,2,0,13,0,0,1
"1465 Svenljunga","2010",7,9,2,1,1,11,0,2,0
"1465 Svenljunga","2014",5,5,2,1,1,10,0,4,5
"1466 Herrljunga","2002",6,10,5,4,1,11,4,0,0
"1466 Herrljunga","2006",5,6,3,3,1,9,2,0,12
"1466 Herrljunga","2010",5,7,4,3,1,10,1,2,8
"1466 Herrljunga","2014",4,5,3,2,1,9,1,3,3
"1470 Vara","2002",14,10,4,3,1,14,3,0,0
"1470 Vara","2006",16,8,3,2,0,13,2,1,0
"1470 Vara","2010",14,6,4,2,1,14,2,2,0
"1470 Vara","2014",13,5,2,1,1,16,2,5,0
"1471 Götene","2002",5,6,4,5,2,14,2,0,3
"1471 Götene","2006",7,6,3,5,2,15,1,0,2
"1471 Götene","2010",6,5,3,3,2,14,2,1,5
"1471 Götene","2014",5,5,2,2,2,13,3,3,6
"1472 Tibro","2002",4,3,9,4,0,13,2,0,0
"1472 Tibro","2006",6,4,8,3,0,13,1,0,0
"1472 Tibro","2010",6,3,7,4,0,13,1,1,0
"1472 Tibro","2014",4,3,5,3,1,14,1,4,0
"1473 Töreboda","2002",8,10,2,3,1,14,3,0,0
"1473 Töreboda","2006",8,6,1,1,1,11,2,1,0
"1473 Töreboda","2010",7,7,1,0,1,12,2,1,0
"1473 Töreboda","2014",7,6,1,0,1,11,2,3,0
"1480 Göteborg","2002",17,0,14,5,6,29,10,0,0
"1480 Göteborg","2006",20,1,9,5,7,31,7,1,0
"1480 Göteborg","2010",23,0,7,2,9,25,7,3,5
"1480 Göteborg","2014",20,0,7,3,9,20,8,6,8
"1481 Mölndal","2002",10,2,10,6,4,19,6,2,2
"1481 Mölndal","2006",15,3,8,4,4,18,4,4,1
"1481 Mölndal","2010",17,3,8,4,6,16,3,4,0
"1481 Mölndal","2014",14,3,6,3,7,18,4,6,0
"1482 Kungälv","2002",11,4,8,6,2,24,4,0,0
"1482 Kungälv","2006",15,5,6,5,2,23,2,1,0
"1482 Kungälv","2010",15,3,6,4,4,18,2,3,4
"1482 Kungälv","2014",12,3,5,3,4,18,3,5,6
"1484 Lysekil","2002",4,1,9,1,1,20,2,0,3
"1484 Lysekil","2006",6,2,9,1,2,17,0,0,4
"1484 Lysekil","2010",5,2,10,0,2,14,1,1,6
"1484 Lysekil","2014",3,1,3,1,2,7,2,3,9
"1485 Uddevalla","2002",9,4,6,7,3,23,9,0,0
"1485 Uddevalla","2006",14,3,4,4,0,20,3,1,12
"1485 Uddevalla","2010",16,3,4,4,4,22,3,3,2
"1485 Uddevalla","2014",9,2,4,4,4,21,6,6,5
"1486 Strömstad","2002",5,12,5,1,2,11,3,0,0
"1486 Strömstad","2006",6,8,3,1,0,8,2,0,11
"1486 Strömstad","2010",7,6,4,1,3,10,2,1,5
"1486 Strömstad","2014",4,9,6,1,4,10,2,3,0
"1487 Vänersborg","2002",6,4,5,4,2,20,5,0,5
"1487 Vänersborg","2006",9,5,4,4,2,21,4,0,2
"1487 Vänersborg","2010",13,3,5,2,4,12,8,2,2
"1487 Vänersborg","2014",10,4,3,2,4,14,6,6,2
"1488 Trollhättan","2002",7,4,5,4,3,30,6,2,0
"1488 Trollhättan","2006",9,4,4,4,3,33,3,1,0
"1488 Trollhättan","2010",11,2,5,2,4,31,3,3,0
"1488 Trollhättan","2014",11,3,4,2,4,27,4,6,0
"1489 Alingsås","2002",8,3,9,7,2,17,5,0,0
"1489 Alingsås","2006",10,3,9,5,3,17,4,0,0
"1489 Alingsås","2010",12,3,7,4,5,14,4,2,0
"1489 Alingsås","2014",10,3,5,4,6,15,4,4,0
"1490 Borås","2002",14,4,6,6,2,29,6,0,6
"1490 Borås","2006",19,4,6,5,3,26,6,1,3
"1490 Borås","2010",19,4,6,3,5,24,5,6,1
"1490 Borås","2014",17,4,5,3,5,24,6,9,0
"1491 Ulricehamn","2002",6,10,4,6,2,17,3,0,1
"1491 Ulricehamn","2006",9,11,3,4,2,14,2,1,3
"1491 Ulricehamn","2010",11,10,4,3,3,13,2,3,0
"1491 Ulricehamn","2014",10,10,2,2,3,13,2,4,3
"1492 Åmål","2002",2,14,1,2,1,10,1,0,0
"1492 Åmål","2006",3,14,1,1,1,10,1,0,0
"1492 Åmål","2010",5,7,2,2,2,15,1,1,0
"1492 Åmål","2014",4,6,3,1,2,15,2,2,0
"1493 Mariestad","2002",6,3,4,3,2,17,4,0,10
"1493 Mariestad","2006",13,3,2,3,1,18,5,1,3
"1493 Mariestad","2010",12,3,3,2,2,15,6,2,4
"1493 Mariestad","2014",14,4,2,2,2,16,4,3,2
"1494 Lidköping","2002",8,5,4,5,2,21,6,0,0
"1494 Lidköping","2006",12,5,2,5,2,21,4,0,0
"1494 Lidköping","2010",11,4,3,3,3,21,4,2,0
"1494 Lidköping","2014",9,4,4,3,2,21,4,4,0
"1495 Skara","2002",9,6,5,3,2,17,3,0,0
"1495 Skara","2006",13,5,3,2,2,17,2,0,0
"1495 Skara","2010",14,4,2,2,3,16,2,2,0
"1495 Skara","2014",11,5,2,2,2,16,2,5,0
"1496 Skövde","2002",11,10,5,6,2,23,4,0,0
"1496 Skövde","2006",15,9,4,4,2,21,4,2,0
"1496 Skövde","2010",16,7,6,3,4,19,3,3,0
"1496 Skövde","2014",15,6,5,3,4,20,2,6,0
"1497 Hjo","2002",6,3,7,4,1,10,2,0,0
"1497 Hjo","2006",10,3,3,3,2,11,1,0,0
"1497 Hjo","2010",9,3,4,2,3,10,1,1,0
"1497 Hjo","2014",10,3,2,2,2,9,2,3,0
"1498 Tidaholm","2002",5,4,3,3,1,19,3,0,3
"1498 Tidaholm","2006",7,4,3,2,1,20,3,1,0
"1498 Tidaholm","2010",8,3,3,2,2,20,2,1,0
"1498 Tidaholm","2014",6,3,3,2,2,19,2,4,0
"1499 Falköping","2002",9,8,4,6,2,18,4,0,0
"1499 Falköping","2006",9,8,2,6,2,20,2,2,0
"1499 Falköping","2010",14,6,2,4,2,17,2,4,0
"1499 Falköping","2014",8,6,2,4,2,17,2,10,0
"1715 Kil","2002",9,5,3,3,1,12,2,0,0
"1715 Kil","2006",7,6,2,2,2,15,0,1,0
"1715 Kil","2010",8,5,2,2,2,14,1,1,0
"1715 Kil","2014",6,6,1,1,2,14,2,3,0
"1730 Eda","2002",3,11,2,2,0,18,1,0,4
"1730 Eda","2006",4,13,1,1,0,16,1,0,5
"1730 Eda","2010",4,10,1,1,0,11,0,0,8
"1730 Eda","2014",3,5,1,1,0,10,3,2,10
"1737 Torsby","2002",9,6,1,2,1,17,5,0,0
"1737 Torsby","2006",8,6,1,1,1,19,4,1,0
"1737 Torsby","2010",7,3,1,0,1,15,3,1,0
"1737 Torsby","2014",6,4,1,0,1,14,2,3,0
"1760 Storfors","2002",4,3,0,1,0,16,4,0,7
"1760 Storfors","2006",4,4,0,1,0,16,3,0,7
"1760 Storfors","2010",5,4,0,1,1,16,3,1,0
"1760 Storfors","2014",3,4,0,0,0,12,4,4,0
"1761 Hammarö","2002",5,2,3,3,1,14,3,0,0
"1761 Hammarö","2006",7,2,2,3,1,13,2,1,0
"1761 Hammarö","2010",8,2,2,3,2,12,1,1,0
"1761 Hammarö","2014",6,2,2,2,2,13,2,2,0
"1762 Munkfors","2002",1,5,3,0,0,18,4,0,0
"1762 Munkfors","2006",1,7,5,0,0,15,3,0,0
"1762 Munkfors","2010",0,6,5,0,0,17,2,1,0
"1762 Munkfors","2014",1,3,3,0,0,15,1,2,0
"1763 Forshaga","2002",4,5,3,2,1,22,3,1,0
"1763 Forshaga","2006",5,5,2,2,1,22,2,2,0
"1763 Forshaga","2010",7,4,2,1,1,22,2,2,0
"1763 Forshaga","2014",6,5,1,1,2,19,2,4,1
"1764 Grums","2002",3,4,0,2,0,17,2,0,3
"1764 Grums","2006",5,4,1,1,0,16,2,0,2
"1764 Grums","2010",6,4,1,0,1,17,1,1,0
"1764 Grums","2014",5,4,0,0,2,16,1,3,0
"1765 Årjäng","2002",4,17,6,2,0,9,3,0,0
"1765 Årjäng","2006",5,16,5,2,0,11,2,0,0
"1765 Årjäng","2010",5,10,5,2,0,15,1,1,2
"1765 Årjäng","2014",3,9,4,5,1,10,0,3,0
"1766 Sunne","2002",5,13,4,2,2,12,2,1,0
"1766 Sunne","2006",7,15,2,1,1,12,1,2,0
"1766 Sunne","2010",7,14,2,0,2,12,2,2,0
"1766 Sunne","2014",6,9,2,0,2,12,1,4,5
"1780 Karlstad","2002",12,4,8,5,2,25,4,0,1
"1780 Karlstad","2006",15,5,4,4,4,23,4,2,0
"1780 Karlstad","2010",17,3,4,3,5,23,4,2,0
"1780 Karlstad","2014",14,3,4,4,6,22,4,4,0
"1781 Kristinehamn","2002",8,7,6,4,2,16,5,1,0
"1781 Kristinehamn","2006",12,4,2,1,1,14,3,1,3
"1781 Kristinehamn","2010",11,5,2,1,2,16,3,1,0
"1781 Kristinehamn","2014",7,5,4,1,2,16,3,3,0
"1782 Filipstad","2002",5,3,3,2,2,16,6,0,0
"1782 Filipstad","2006",5,3,2,2,1,19,4,1,0
"1782 Filipstad","2010",6,3,2,1,1,18,3,1,2
"1782 Filipstad","2014",7,2,1,1,1,15,3,6,1
"1783 Hagfors","2002",3,5,2,2,0,23,6,0,0
"1783 Hagfors","2006",4,5,3,1,0,21,6,1,0
"1783 Hagfors","2010",3,4,3,0,1,18,4,2,0
"1783 Hagfors","2014",2,4,2,0,1,18,3,5,0
"1784 Arvika","2002",5,5,5,2,3,23,5,1,0
"1784 Arvika","2006",8,6,3,2,2,23,3,2,0
"1784 Arvika","2010",10,5,3,1,2,23,3,2,0
"1784 Arvika","2014",7,5,2,1,3,23,4,4,0
"1785 Säffle","2002",4,21,2,2,2,9,1,0,0
"1785 Säffle","2006",4,15,1,2,1,11,1,1,5
"1785 Säffle","2010",6,12,1,1,1,12,0,2,6
"1785 Säffle","2014",5,10,1,1,1,10,1,6,6
"1814 Lekeberg","2002",4,10,2,3,1,13,2,0,0
"1814 Lekeberg","2006",5,10,2,3,1,12,1,0,0
"1814 Lekeberg","2010",6,7,1,3,2,10,1,2,3
"1814 Lekeberg","2014",5,9,1,2,1,10,1,4,2
"1860 Laxå","2002",2,3,3,3,0,14,6,0,0
"1860 Laxå","2006",3,4,2,3,1,14,4,0,0
"1860 Laxå","2010",4,3,2,4,1,14,3,0,0
"1860 Laxå","2014",4,3,1,6,2,10,3,2,0
"1861 Hallsberg","2002",4,5,4,4,1,23,4,0,0
"1861 Hallsberg","2006",6,5,2,3,2,22,3,2,0
"1861 Hallsberg","2010",7,3,2,2,2,23,3,3,0
"1861 Hallsberg","2014",6,4,2,2,2,20,3,6,0
"1862 Degerfors","2002",2,3,3,1,1,21,10,0,0
"1862 Degerfors","2006",3,3,2,2,1,18,12,0,0
"1862 Degerfors","2010",3,2,1,1,1,12,20,0,0
"1862 Degerfors","2014",2,2,0,1,1,10,13,2,0
"1863 Hällefors","2002",2,3,0,0,0,17,3,0,6
"1863 Hällefors","2006",4,4,0,0,0,15,4,0,4
"1863 Hällefors","2010",4,3,0,1,0,11,4,1,7
"1863 Hällefors","2014",5,3,0,0,0,9,7,3,4
"1864 Ljusnarsberg","2002",2,6,0,0,1,16,3,0,3
"1864 Ljusnarsberg","2006",3,5,0,0,0,14,3,1,5
"1864 Ljusnarsberg","2010",5,4,0,0,2,13,3,2,2
"1864 Ljusnarsberg","2014",3,2,1,0,2,9,2,6,0
"1880 Örebro","2002",8,3,10,8,4,26,6,0,0
"1880 Örebro","2006",13,4,8,6,4,25,4,1,0
"1880 Örebro","2010",14,2,5,4,4,28,4,4,0
"1880 Örebro","2014",13,4,4,4,6,24,4,6,0
"1881 Kumla","2002",5,5,4,4,1,23,3,0,0
"1881 Kumla","2006",6,4,3,4,1,23,2,2,0
"1881 Kumla","2010",8,3,3,3,2,22,2,2,0
"1881 Kumla","2014",8,3,5,2,2,18,2,5,0
"1882 Askersund","2002",5,5,3,3,0,16,4,1,0
"1882 Askersund","2006",8,4,2,3,1,15,3,1,0
"1882 Askersund","2010",7,3,2,3,1,14,2,1,0
"1882 Askersund","2014",6,3,1,2,2,13,2,4,0
"1883 Karlskoga","2002",7,1,4,3,1,30,4,0,1
"1883 Karlskoga","2006",12,2,2,2,1,26,4,0,2
"1883 Karlskoga","2010",13,1,2,2,2,23,4,2,2
"1883 Karlskoga","2014",11,2,2,1,3,20,3,4,1
"1884 Nora","2002",5,4,4,3,1,15,3,0,0
"1884 Nora","2006",6,4,3,2,1,16,2,0,0
"1884 Nora","2010",5,2,3,2,1,15,1,0,5
"1884 Nora","2014",4,3,1,1,2,14,4,3,3
"1885 Lindesberg","2002",5,7,3,3,2,20,3,0,2
"1885 Lindesberg","2006",7,10,2,2,2,18,3,1,0
"1885 Lindesberg","2010",8,6,2,2,2,19,2,4,0
"1885 Lindesberg","2014",7,6,1,1,2,18,2,8,0
"1904 Skinnskatteberg","2002",3,3,2,2,1,16,4,0,0
"1904 Skinnskatteberg","2006",3,4,4,1,0,12,3,0,4
"1904 Skinnskatteberg","2010",2,2,10,0,2,12,2,1,0
"1904 Skinnskatteberg","2014",2,2,10,0,1,12,2,2,0
"1907 Surahammar","2002",3,4,3,2,0,20,7,0,0
"1907 Surahammar","2006",5,3,2,2,1,20,5,0,0
"1907 Surahammar","2010",6,3,3,1,1,19,4,2,0
"1907 Surahammar","2014",5,5,2,1,1,15,4,5,0
"1960 Kungsör","2002",5,7,4,3,0,17,3,0,0
"1960 Kungsör","2006",8,8,3,2,0,15,2,0,0
"1960 Kungsör","2010",9,4,7,1,1,13,2,2,0
"1960 Kungsör","2014",7,5,3,1,2,14,2,5,0
"1961 Hallstahammar","2002",5,3,4,6,1,19,6,1,0
"1961 Hallstahammar","2006",6,3,4,5,2,19,4,2,0
"1961 Hallstahammar","2010",7,2,4,3,1,22,4,2,0
"1961 Hallstahammar","2014",6,2,3,2,2,21,4,5,0
"1962 Norberg","2002",3,2,2,0,1,11,12,0,0
"1962 Norberg","2006",4,3,2,0,1,15,6,0,0
"1962 Norberg","2010",3,3,4,0,1,14,5,1,0
"1962 Norberg","2014",2,2,1,0,1,12,7,4,2
"1980 Västerås","2002",9,3,10,4,4,27,4,0,0
"1980 Västerås","2006",14,4,8,4,4,23,4,0,0
"1980 Västerås","2010",17,2,7,2,4,22,4,3,0
"1980 Västerås","2014",15,4,5,2,4,21,4,6,0
"1981 Sala","2002",6,9,4,5,0,21,3,0,1
"1981 Sala","2006",8,10,2,3,0,18,3,1,0
"1981 Sala","2010",7,8,2,2,2,15,2,2,5
"1981 Sala","2014",5,9,1,1,2,14,2,5,6
"1982 Fagersta","2002",3,1,1,1,0,10,19,0,0
"1982 Fagersta","2006",3,1,1,1,0,8,21,0,0
"1982 Fagersta","2010",3,0,1,1,0,8,20,2,0
"1982 Fagersta","2014",4,1,1,0,0,14,10,5,0
"1983 Köping","2002",7,4,4,3,1,23,6,0,1
"1983 Köping","2006",9,5,3,3,1,22,4,1,1
"1983 Köping","2010",9,4,3,2,2,22,4,3,0
"1983 Köping","2014",7,4,2,1,2,22,4,7,0
"1984 Arboga","2002",5,3,5,2,3,16,3,0,4
"1984 Arboga","2006",7,3,4,2,1,18,3,0,3
"1984 Arboga","2010",9,2,4,2,2,16,3,2,1
"1984 Arboga","2014",9,2,3,2,2,16,2,4,1
"2021 Vansbro","2002",2,9,2,4,1,14,5,0,0
"2021 Vansbro","2006",3,8,1,7,0,11,4,0,3
"2021 Vansbro","2010",2,9,1,3,0,10,3,0,3
"2021 Vansbro","2014",1,11,1,3,0,10,2,1,2
"2023 Malung-Sälen","2002",6,6,4,2,0,15,8,0,0
"2023 Malung-Sälen","2006",9,5,3,1,0,14,6,0,3
"2023 Malung-Sälen","2010",9,3,3,0,0,15,5,1,3
"2023 Malung-Sälen","2014",9,4,3,0,0,15,4,2,2
"2026 Gagnef","2002",3,12,2,2,0,14,2,0,0
"2026 Gagnef","2006",4,15,1,2,1,12,0,0,0
"2026 Gagnef","2010",5,12,1,2,2,12,0,1,0
"2026 Gagnef","2014",4,7,1,1,2,9,1,3,7
"2029 Leksand","2002",4,19,3,5,0,10,5,0,3
"2029 Leksand","2006",7,15,3,7,2,12,3,0,0
"2029 Leksand","2010",9,11,2,8,3,11,2,1,2
"2029 Leksand","2014",6,11,1,6,3,12,3,3,4
"2031 Rättvik","2002",3,11,5,2,1,14,2,0,1
"2031 Rättvik","2006",5,13,4,1,1,13,1,0,1
"2031 Rättvik","2010",6,10,2,1,2,14,2,1,1
"2031 Rättvik","2014",5,13,1,1,2,12,2,3,0
"2034 Orsa","2002",2,8,1,2,1,12,2,1,2
"2034 Orsa","2006",3,8,1,2,1,13,2,1,0
"2034 Orsa","2010",2,9,1,2,2,11,2,2,0
"2034 Orsa","2014",1,12,1,1,1,8,2,5,0
"2039 Älvdalen","2002",2,5,3,1,2,13,1,0,8
"2039 Älvdalen","2006",4,6,3,1,1,15,0,0,5
"2039 Älvdalen","2010",6,7,1,1,1,14,0,1,4
"2039 Älvdalen","2014",4,8,0,0,1,17,0,3,2
"2061 Smedjebacken","2002",5,4,2,1,3,17,3,0,0
"2061 Smedjebacken","2006",5,4,1,1,1,21,2,0,0
"2061 Smedjebacken","2010",5,3,1,0,2,22,1,1,0
"2061 Smedjebacken","2014",6,5,1,0,3,15,2,3,0
"2062 Mora","2002",3,15,2,3,1,12,3,0,2
"2062 Mora","2006",5,13,2,2,1,12,2,0,4
"2062 Mora","2010",6,11,1,2,2,12,2,1,4
"2062 Mora","2014",5,11,1,1,2,12,2,3,4
"2080 Falun","2002",9,6,5,3,3,23,5,0,7
"2080 Falun","2006",12,7,4,3,4,23,3,0,5
"2080 Falun","2010",15,5,2,2,4,23,4,2,4
"2080 Falun","2014",13,7,4,1,4,20,5,5,2
"2081 Borlänge","2002",7,5,6,3,3,31,5,0,1
"2081 Borlänge","2006",11,5,4,2,2,28,4,2,3
"2081 Borlänge","2010",11,4,2,2,2,24,5,7,4
"2081 Borlänge","2014",9,5,2,2,3,22,4,12,2
"2082 Säter","2002",4,9,3,2,1,14,2,0,0
"2082 Säter","2006",5,8,3,2,1,14,2,0,0
"2082 Säter","2010",6,7,2,1,1,16,1,1,0
"2082 Säter","2014",5,6,2,1,1,14,2,4,0
"2083 Hedemora","2002",5,7,2,3,2,15,4,0,3
"2083 Hedemora","2006",6,8,1,2,2,17,3,1,1
"2083 Hedemora","2010",7,8,1,1,2,14,2,3,3
"2083 Hedemora","2014",7,7,1,0,2,13,3,4,4
"2084 Avesta","2002",5,5,3,2,2,16,4,0,4
"2084 Avesta","2006",9,4,2,1,2,17,3,1,2
"2084 Avesta","2010",9,3,2,1,2,18,2,2,2
"2084 Avesta","2014",5,3,1,1,1,21,2,4,3
"2085 Ludvika","2002",5,2,3,2,2,22,6,0,3
"2085 Ludvika","2006",7,3,1,1,1,24,4,0,4
"2085 Ludvika","2010",9,2,2,0,2,22,4,2,2
"2085 Ludvika","2014",10,2,1,0,3,17,4,7,1
"2101 Ockelbo","2002",2,8,0,0,1,14,6,0,0
